Speed,Heading,AgentCount,Acc,Label
1.1592,88.8056,83,-0.0016,0
1.1592,90.9872,46,0.0045,0
1.1591,89.0224,115,0.0008,0
1.1589,89.8541,119,0.0099,0
1.1587,89.5653,113,0.0005,0
1.1587,89.7144,95,0.0134,0
1.1586,88.9852,131,0.0026,0
1.1586,89.805,139,0.0027,0
1.1585,89.3826,134,0.0118,0
1.1584,89.0223,84,-0.0032,0
1.1583,88.6064,97,-0.0046,0
1.1583,88.9206,81,0.0072,0
1.1582,89.3488,113,0.0123,0
1.1582,89.3158,112,0.0167,0
1.1581,88.9046,110,0.0069,0
1.1581,90.0477,55,0.0167,0
1.158,88.6041,114,0.0055,0
1.1579,88.3264,46,0.0278,0
1.1578,89.2898,132,0.0068,0
1.1577,89.0889,88,0.0006,0
1.1577,89.9624,136,0.013,0
1.1576,89.4809,87,0.0088,0
1.1576,89.1741,137,0.0188,0
1.1576,88.675,41,0.0233,0
1.1575,88.844,115,0.0005,0
1.1574,89.2604,140,0.0003,0
1.1574,89.4689,81,0.0009,0
1.1573,90.9825,53,-0.0021,0
1.1571,89.7629,40,-0.0075,0
1.1571,88.8663,132,-0.0049,0
1.1571,89.0408,87,-0.0014,0
1.157,89.181,80,0.0051,0
1.157,89.772,120,0.0156,0
1.1569,89.3579,118,-0.0005,0
1.1569,88.664,113,0.0207,0
1.1568,89.2245,115,0.0166,0
1.1567,89.8831,76,0.0075,0
1.1567,89.3879,107,0.0092,0
1.1567,88.3212,126,0.0139,0
1.1566,90.3486,106,0.0063,0
1.1566,88.6091,91,0.0063,0
1.1565,89.1961,112,-0.0014,0
1.1565,88.8676,133,0.0704,0
1.1563,89.0911,137,-0.0087,0
1.1562,88.7305,80,-0.0019,0
1.1562,88.8432,113,0.001,0
1.1561,89.4291,109,-0.0002,0
1.1561,88.4382,33,0.0182,0
1.156,88.9045,115,-0.0081,0
1.156,89.7157,110,-0.0026,0
1.156,88.6408,113,0.0014,0
1.156,89.011,111,0.0054,0
1.156,88.8919,82,0.0229,0
1.1558,89.2086,106,0.0258,0
1.1557,89.6111,94,-0.0087,0
1.1557,88.4254,112,0.0008,0
1.1557,87.8151,45,0.0124,0
1.1557,89.5362,116,0.0143,0
1.1557,89.3376,113,0.0165,0
1.1555,89.31,84,-0.0109,0
1.1555,88.8456,145,-0.0002,0
1.1555,89.8406,105,0.0122,0
1.1555,89.1742,114,0.0164,0
1.1553,90.9185,27,-0.0039,0
1.1553,89.201,139,-0.0014,0
1.1552,90.9536,25,-0.0157,0
1.1552,88.927,134,0.0055,0
1.1552,89.0415,132,0.0098,0
1.1551,89.2721,84,-0.0018,0
1.155,89.5798,118,0.0016,0
1.155,89.1716,85,0.0083,0
1.155,89.1628,139,0.0166,0
1.1549,89.7722,135,0.0078,0
1.1548,89.1562,114,-0.0138,0
1.1548,89.0329,132,0.0069,0
1.1547,89.7523,89,0.0032,0
1.1546,88.646,112,0.0081,0
1.1546,89.3056,143,0.0108,0
1.1545,88.9074,50,0.0069,0
1.1545,89.8493,91,0.0202,0
1.1544,89.2663,59,0.0063,0
1.1543,89.2909,113,-0.0107,0
1.1543,89.7237,39,0.0011,0
1.1543,89.1381,127,0.0068,0
1.1542,89.6298,114,-0.0034,0
1.1542,88.9504,131,-0.0003,0
1.1541,89.0616,130,-0.0056,0
1.1541,89.3346,85,-0.0017,0
1.1541,89.7413,136,0.003,0
1.154,91.8354,51,0.0167,0
1.1538,89.443,98,0.006,0
1.1538,89.9706,131,0.0156,0
1.1537,89.2518,142,0.004,0
1.1537,90.2258,82,0.0057,0
1.1537,89.2974,140,0.0152,0
1.1536,88.8284,132,-0.0005,0
1.1536,89.2059,43,0.0124,0
1.1536,89.1569,143,0.0212,0
1.1535,88.8171,81,0.0084,0
1.1535,89.7492,38,0.0194,0
1.1534,90.2888,146,0.0047,0
1.1534,88.6609,116,0.0047,0
1.1534,89.0078,134,0.0055,0
1.1533,89.3349,82,-0.006,0
1.1533,89.0037,142,0.0022,0
1.1531,90.5499,132,0.003,0
1.1531,88.6321,147,0.0144,0
1.153,90.5127,133,-0.0216,0
1.153,89.9132,135,0.0002,0
1.153,88.9711,114,0.0025,0
1.153,88.9403,84,0.0074,0
1.1529,89.377,142,-0.0096,0
1.1529,88.5727,79,0.0089,0
1.1528,88.8539,144,-0.003,0
1.1528,89.3912,81,0.0011,0
1.1528,89.6557,118,0.0166,0
1.1526,89.1857,33,0.015,0
1.1524,88.2591,77,0.0116,0
1.1524,89.5517,112,0.0127,0
1.1523,88.8102,81,0.0048,0
1.1522,89.3501,114,0.0073,0
1.1521,88.9538,84,-0.0106,0
1.1521,89.2123,88,-0.0009,0
1.1521,89.6648,131,0.0034,0
1.1521,89.9478,39,0.0038,0
1.1521,89.0818,97,0.0092,0
1.152,89.0324,54,0.0097,0
1.1519,89.5841,142,0.0004,0
1.1519,88.8758,112,0.001,0
1.1519,89.1398,133,0.0109,0
1.1518,89.5152,108,-0.0002,0
1.1518,89.0253,130,0.0059,0
1.1517,89.0464,116,-0.0087,0
1.1517,88.143,113,0.0081,0
1.1517,89.7936,42,0.027,0
1.1516,89.6108,37,0.005,0
1.1516,89.1779,42,0.015,0
1.1515,89.3894,104,0.0041,0
1.1515,89.173,139,0.0081,0
1.1514,89.3075,112,-0.0081,0
1.1514,89.3333,132,0.0016,0
1.1514,89.2732,143,0.0044,0
1.1513,89.0303,132,0.0084,0
1.1511,90.309,46,0.0052,0
1.1511,89.274,53,0.0161,0
1.151,89.9838,38,-0.0052,0
1.151,89.3083,118,-0.0033,0
1.151,88.2043,83,0.012,0
1.151,88.8639,124,0.0158,0
1.1508,88.8767,115,0.0079,0
1.1508,89.6146,142,0.0176,0
1.1507,97.4983,84,0.023,1
1.1507,89.0495,117,-0.0152,0
1.1507,90.6994,73,0.0096,0
1.1506,89.2948,142,-0.0742,0
1.1506,89.219,133,0.007,0
1.1506,88.9703,135,0.0128,0
1.1505,89.2894,137,0.0057,0
1.1504,89.0144,101,0.0212,0
1.1503,88.7471,125,0.0034,0
1.1503,88.7938,92,0.009,0
1.1502,89.8179,137,-0.0017,0
1.1501,89.0039,83,-0.0046,0
1.1501,88.5571,117,0.004,0
1.1499,89.2521,88,-0.0012,0
1.1498,90.1083,114,-0.0066,0
1.1498,90.359,57,0.0023,0
1.1498,88.5091,41,0.0039,0
1.1497,89.3102,81,-0.002,0
1.1497,88.8165,112,0.0025,0
1.1497,89.0943,114,0.003,0
1.1496,89.5227,42,0.0032,0
1.1496,89.3165,89,0.0051,0
1.1495,89.4803,54,0.0148,0
1.1492,89.9155,91,0.0183,0
1.149,89.2551,141,0.0087,0
1.149,89.8142,136,0.0173,0
1.1489,89.0894,141,0.0038,0
1.1488,89.2053,137,0.0145,0
1.1487,88.7919,142,-0.0099,0
1.1487,87.6756,34,-0.0048,0
1.1487,89.0159,133,0.0006,0
1.1487,89.8101,134,0.0161,0
1.1486,90.3663,47,-0.0004,0
1.1486,90.3706,47,0.0182,0
1.1485,89.5196,135,-0.0017,0
1.1485,89.17,134,0.0124,0
1.1484,89.0169,145,0.0028,0
1.1483,88.9654,109,-0.0022,0
1.1483,89.7969,132,0.0068,0
1.1483,89.2162,110,0.0072,0
1.1483,89.3064,82,0.0104,0
1.1483,90.4889,53,0.0159,0
1.1483,89.5248,112,0.0181,0
1.1482,88.8597,32,0.0012,0
1.1481,89.6272,135,-0.052,0
1.148,89.2395,133,-0.0208,0
1.148,89.1905,142,0.0004,0
1.148,89.3924,111,0.0099,0
1.1479,89.3832,116,-0.0077,0
1.1479,89.4392,144,0.0154,0
1.1478,88.9745,45,-0.0083,0
1.1478,89.1941,116,-0.0004,0
1.1478,89.0758,114,0.0093,0
1.1477,89.3923,125,0.0098,0
1.1476,88.7039,142,-0.0058,0
1.1476,89.5976,83,-0.0027,0
1.1476,89.7091,131,0.0059,0
1.1475,90.0668,132,0.0017,0
1.1475,89.7792,116,0.0162,0
1.1474,88.7412,107,-0.0013,0
1.1473,89.184,117,-0.0048,0
1.1471,90.0655,46,-0.0076,0
1.1469,89.7234,89,-0.0015,0
1.1468,88.7743,31,-0.005,0
1.1467,89.3749,111,0.0056,0
1.1466,88.6494,82,-0.0109,0
1.1466,89.4905,86,-0.0051,0
1.1465,88.6645,138,0.0088,0
1.1464,89.0717,138,-0.0019,0
1.1464,89.1348,136,0.0008,0
1.1464,89.7598,134,0.0058,0
1.1464,90.087,144,0.0067,0
1.1464,88.3318,144,0.0102,0
1.1463,90.1612,138,0.0073,0
1.1462,90.0844,75,0.0031,0
1.1462,88.9062,143,0.0126,0
1.1461,89.8178,132,0.0001,0
1.146,88.7733,38,-0.0137,0
1.146,89.6177,85,-0.0095,0
1.146,89.0045,141,-0.0036,0
1.146,89.0195,142,0.0096,0
1.146,89.2766,42,0.0269,0
1.1459,89.0312,101,-0.0094,0
1.1459,88.7029,137,0.0027,0
1.1459,89.1442,132,0.0076,0
1.1459,89.0533,133,0.0128,0
1.1458,88.8409,140,-0.0055,0
1.1458,88.5809,110,0.0036,0
1.1458,88.3925,76,0.01,0
1.1458,89.7719,59,0.0112,0
1.1457,88.5676,124,0.0066,0
1.1457,89.6957,108,0.0081,0
1.1456,88.7724,83,-0.0026,0
1.1456,89.01,84,0.0216,0
1.1455,89.0207,110,-0.0027,0
1.1455,89.6479,96,0.0002,0
1.1455,88.5566,149,0.0052,0
1.1455,88.8576,152,0.0096,0
1.1455,88.7436,92,0.0185,0
1.1454,89.6934,132,-0.0026,0
1.1454,89.3716,113,0.0009,0
1.1452,89.7251,96,0.0091,0
1.1452,89.5124,136,0.0104,0
1.1452,89.4917,92,0.0137,0
1.1451,88.6013,107,0.0167,0
1.145,88.8034,80,-0.0093,0
1.145,88.9171,84,-0.0042,0
1.1449,89.2293,133,0.0076,0
1.1448,89.3587,133,-0.0024,0
1.1447,88.8225,111,-0.0045,0
1.1446,90,146,0.0023,0
1.1445,89.2427,139,0.0173,0
