Timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,Label,
0:32:26,0.2909,20.0435,0.6209,91.25,265,2.65,0.0325,3,0,normal
0:32:27,0.2997,20.1982,0.6262,90.2881,267,2.67,0.01,3,0,normal
0:32:28,0.3102,20.2495,0.6435,89.605,270,2.7,0.0283,3,0,normal
0:32:29,0.2913,20.2708,0.6501,90.3003,270,2.7,0.012,3,0,normal
0:32:30,0.2989,20.1129,0.6104,89.8067,268,2.68,-0.0172,3,0,normal
0:32:31,0.2966,19.9866,0.6214,88.9803,267,2.67,0.0221,3,0,normal
0:32:32,0.2802,19.8815,0.646,89.001,266,2.66,0.0382,3,0,normal
0:32:33,0.2952,20.0127,0.6544,88.8338,267,2.67,0.0172,3,0,normal
0:32:34,0.2902,19.8619,0.6794,88.9458,268,2.68,0.037,3,0,normal
0:32:35,0.2784,19.7279,0.6567,90.85,264,2.64,-0.0023,3,0,normal
0:32:36,0.2757,19.686,0.631,90.2381,263,2.63,-0.0083,3,0,normal
0:32:37,0.2623,19.6749,0.6227,88.828,263,2.63,0.0027,3,0,normal
0:32:38,0.2585,19.7258,0.6228,88.2484,261,2.61,0.0106,3,0,normal
0:32:39,0.2756,19.7234,0.6288,88.262,263,2.63,0.0185,3,0,normal
0:32:40,0.2776,19.8192,0.6379,88.9272,267,2.67,0.0155,3,0,normal
0:32:41,0.2696,19.9524,0.6479,88.4666,270,2.7,0.0166,3,0,normal
0:32:42,0.2705,19.9673,0.6401,88.0997,268,2.68,0.014,3,0,normal
0:32:43,0.2659,20.0435,0.6299,88.7862,268,2.68,0.0053,3,0,normal
0:32:44,0.2665,19.9671,0.6131,88.6351,270,2.7,-0.003,3,0,normal
0:32:45,0.273,19.9907,0.6072,88.6222,269,2.69,0.0054,3,0,normal
0:32:46,0.2825,20.0923,0.6058,89.0919,272,2.72,0.0098,3,0,normal
0:32:47,0.2768,20.1231,0.6103,89.1946,273,2.73,0.0112,3,0,normal
0:32:48,0.2738,20.0879,0.6109,88.5249,276,2.76,0.0098,3,0,normal
0:32:49,0.2844,20.224,0.6048,88.3832,274,2.74,0.0054,3,0,normal
0:32:50,0.2897,20.2268,0.6142,89.1091,274,2.74,0.0227,3,0,normal
0:32:51,0.2924,20.2076,0.6198,89.0371,277,2.77,0.0125,3,0,normal
0:32:52,0.3242,20.3363,0.6221,89.391,280,2.8,0.0132,3,0,normal
0:32:53,0.3117,20.3838,0.6113,89.5499,281,2.81,-0.0038,3,0,normal
0:32:54,0.3123,20.2582,0.6221,89.0742,277,2.77,0.018,3,0,normal
0:32:55,0.3242,20.3423,0.6163,88.7662,279,2.79,0.0021,3,0,normal
0:32:56,0.315,20.1969,0.5978,89.1756,277,2.77,-0.0009,3,0,normal
0:32:57,0.3094,20.1174,0.5954,89.6257,277,2.77,0.0089,3,0,normal
0:32:58,0.3008,20.1485,0.5839,88.7499,282,2.82,-0.0081,3,0,normal
0:32:59,0.3056,20.1796,0.5791,88.736,285,2.85,0.0079,3,0,normal
0:33:00,0.3061,20.2158,0.5852,88.2015,288,2.88,0.0092,3,0,normal
0:33:01,0.2957,20.1839,0.5898,88.7567,289,2.89,0.0124,3,0,normal
0:33:02,0.2963,20.1359,0.6227,88.4776,289,2.89,0.0399,3,0,normal
0:33:03,0.304,20.0795,0.603,88.2067,283,2.83,0.0005,3,0,normal
0:33:04,0.3043,20.1384,0.6185,88.7329,284,2.84,0.0236,3,0,normal
